"1","P-01012019-186","P-01012019-1866724"
"2","P-01012019-187","P-01012019-1873935"
"3","P-01012019-188","P-01012019-1881952"
"4","P-01012019-188","P-01012019-1886286"
"5","P-01012019-188","P-01012019-1886853"
"6","P-01012019-188","P-01012019-1889806"
"7","P-01012019-189","P-01012019-1894449"
"8","P-01012019-189","P-01012019-1897811"
"9","P-01012019-189","P-01012019-1897929"
"10","P-01012019-189","P-01012019-1898555"
"11","P-01012019-190","P-01012019-1905891"
"12","P-01012019-191","P-01012019-1917154"
"13","P-01012019-191","P-01012019-1917262"
"14","P-01012019-192","P-01012019-1926715"
"15","P-01012019-193","P-01012019-1936536"
"16","P-01012019-194","P-01012019-1941085"
"17","P-01012019-194","P-01012019-1942362"
"18","P-01012019-195","P-01012019-1956049"
"19","P-01012019-195","P-01012019-1956115"
"20","P-01012019-195","P-01012019-1959545"
"21","P-01012019-196","P-01012019-1969273"
"22","P-01012019-196","P-01012019-1969507"
"23","P-01012019-197","P-01012019-1979383"
"24","P-01012019-197","P-01012019-1979690"
"25","P-01012019-198","P-01012019-1981980"
"26","P-01012019-198","P-01012019-1984159"
"27","P-01012019-198","P-01012019-1987709"
"28","P-01012019-199","P-01012019-1992941"
"29","P-01012019-199","P-01012019-1993337"
"30","P-01012019-199","P-01012019-1996391"
"31","P-01012019-200","P-01012019-2001802"
"32","P-01012019-200","P-01012019-2009195"
"33","P-01012019-201","P-01012019-2013192"
"34","P-01012019-201","P-01012019-2018000"
"35","P-01012019-202","P-01012019-2023914"
"36","P-01012019-202","P-01012019-2024888"
"37","P-01012019-202","P-01012019-2027142"
"38","P-01012019-202","P-01012019-2027767"
"39","P-01012019-203","P-01012019-2038381"
"40","P-01012019-203","P-01012019-2038606"
"41","P-01012019-203","P-01012019-2039581"
"42","P-01012019-204","P-01012019-2041878"
"43","P-01012019-204","P-01012019-2049551"
"44","P-01012019-205","P-01012019-2051236"
"45","P-01012019-206","P-01012019-2064132"
"46","P-01012019-206","P-01012019-2068516"
"47","P-01042019-495","P-01042019-4952785"
"48","P-01042019-495","P-01042019-4957655"
"49","P-01042019-496","P-01042019-4964629"
"50","P-01042019-496","P-01042019-4966873"
"51","P-01042019-497","P-01042019-4973770"
