"C161120170005","29"
"C161120170007","60"
"C161120170008","63"
"C170320180032","40"
"C170420190131","62"
"C170520190190","84"
"C170520190191","36"
"C170520190192","65"
"C170520190193","20"
"C170620190287","93"
"C170620190288","78"
"C170620190289","43"
"C170620190290","71"
"C170620190291","94"
"C170620190292","54"
"C170620190293","50"
"C170720190423","86"
"C170720190424","87"
"C170720190425","53"
"C170720190426","73"
"C180120190067","70"
"C180120190068","65"
"C180120190069","13"
"C180220190093","19"
"C180420190132","61"
"C180520190194","40"
"C180520190195","53"
"C180520190196","15"
"C180520190197","31"
"C180520190198","99"
"C180520190199","80"
"C180520190200","32"
"C180620190294","53"
"C180620190295","86"
"C180620190296","10"
"C180620190297","12"
"C180620190298","17"
"C180720190427","15"
"C180720190428","31"
"C180720190429","84"
"C190120190070","81"
"C190320190112","76"
"C190420190133","11"
"C190520190201","67"
"C190520190202","35"
"C190620190299","51"
"C190620190300","32"
"C190620190301","18"
"C190620190302","38"
"C190620190303","84"
"C190620190304","60"
"C190620190305","73"
"C190620190306","89"
"C190620190307","56"
"C190620190308","84"
"C190620190309","90"
"C190720190430","99"
"C190720190431","62"
"C190720190432","96"
"C190720190433","98"
"C190720190434","60"
"C190720190435","9"
"C200120190071","34"
"C200520190203","43"
"C200520190204","10"
"C200520190205","33"
"C200520190206","73"
"C200520190207","37"
"C200620190310","18"
"C200620190311","18"
"C200620190312","13"
"C200720190436","51"
"C210120180027","41"
"C210120190072","66"
"C210520190208","51"
"C210520190209","62"
"C210520190210","89"
"C210520190211","11"
"C210520190212","98"
"C210620190313","48"
"C210620190314","81"
"C210620190315","18"
"C210720190437","71"
"C220120190073","12"
"C220120190074","77"
"C220520190213","86"
"C220520190214","88"
"C220620190316","91"
"C220620190317","6"
"C220720190438","84"
"C230120190075","20"
"C230120190076","19"
"C230120190077","4"
"C230120190078","59"
"C230220180031","73"
"C230320190113","20"
"C230420190134","44"
"C230520190215","19"
"C230520190216","59"
"C230520190217","24"
"C230520190218","85"
"C230520190219","26"
"C230520190220","97"
"C230720190439","75"
"C240120190079","53"
"C240120190080","41"
"C240120190081","92"
"C240120190082","69"
"C240120190083","57"
"C240120190084","9"
"C240420190135","69"
"C240520190221","3"
"C240520190222","87"
"C240520190223","35"
"C240620190318","59"
"C240620190319","32"
"C240720170001","60"
"C240720190440","74"
"C240720190441","84"
"C240720190442","62"
"C240720190443","94"
"C240720190444","51"
"C240720190445","15"
"C250120180028","21"
"C250220190094","42"
"C250420190136","80"
"C250520190224","72"
"C250520190225","97"
"C250620190320","77"
"C250620190321","69"
"C250620190322","14"
"C250720190446","56"
"C250720190447","77"
"C250720190448","92"
"C250720190449","18"
"C251120170009","64"
"C260120190085","71"
"C260220190095","88"
"C260220190096","79"
"C260320190114","58"
"C260320190115","28"
"C260320190116","91"
"C260620190323","74"
"C260620190324","84"
"C260620190325","32"
"C260620190326","32"
"C260620190327","26"
"C260620190328","17"
"C260620190329","14"
"C260720190450","98"
"C260720190451","85"
"C260720190452","81"
"C261120170010","63"
"C270120190086","89"
"C270320190117","36"
"C270320190118","80"
"C270520190226","41"
"C270520190227","83"
"C270520190228","37"
"C270520190229","78"
"C270520190230","1"
"C270520190231","1"
"C270620190330","47"
"C270620190331","4"
"C270720190454","96"
"C270720190455","67"
"C270720190456","7"
"C270720190457","77"
"C270720190458","82"
"C270720190459","48"
"C270720190460","43"
"C270720190461","33"
"C270720190462","21"
"C270720190463","31"
"C270720190464","80"
"C270720190465","97"
"C270720190466","74"
"C270720190467","72"
"C270720190468","54"
"C270720190469","83"
"C270720190470","40"
"C270720190471","59"
"C270720190472","79"
"C270720190473","78"
"C270720190474","17"
"C270720190475","78"
"C270720190476","53"
"C270720190477","73"
"C270720190478","72"
"C270720190479","70"
"C270720190480","95"
"C270720190481","94"
"C270720190482","67"
"C270720190483","55"
"C270720190484","81"
"C270720190485","21"
"C270720190486","69"
"C270720190487","9"
"C270720190488","29"
"C270720190489","50"
"C270720190490","37"
"C270720190491","34"
"C270720190492","26"
"C270720190493","45"
"C270720190494","61"
"C270720190495","64"
"C270720190496","76"
"C271120170011","63"
"C280120190087","47"
