"1","Greater Accra","Accra","10"
"2","Greater Accra","Tema","15"
"3","Greater Accra","Weija","17"
"4","Ashanti","Kumasi","25"
"5","Brong-Ahafo","Sunyani","25"
"6","Western","Takoradi","25"
"7","Central","Cape Coast","20"
"8","Eastern","Nsawam","18"
"9","Eastern","Amanokron Akwapem","18"
"10","Greater Accra","Taifa","17"
