"OD080820190233","C080820190571","2019-08-08 23:28:11","0","162","0","30","1190",NULL,"30FB045F-D92B-4785-9294-566F93D6D876",NULL
"OD090120190081","C090120190064","2019-01-09 16:10:00","0","37","5","10","44",NULL,"303265F9-F393-41E5-91AF-B9E416A937C7",NULL
"OD090120190082","C240720170001","2019-01-09 17:05:22","0","34","0","0","500",NULL,"B55002CF-942E-49D6-B2F4-B409CDEACFE1",NULL
"OD090620190161","C090620190269","2019-06-09 08:45:41","0","77","0","10","370",NULL,"C084D0CB-9254-4128-9052-1367AB7F5C1B",NULL
"OD090820190234","C300720190516","2019-08-09 16:58:00","0","154","0","34","4064",NULL,"C234FF01-663D-47C4-B719-84675CD4C042",NULL
"OD100120190083","C061220180035","2019-01-10 16:45:06","0","30","5","10","105",NULL,"18C0B5F7-4D3B-4078-A7AF-5B25AE50CAD9",NULL
"OD100320190115","C100320190106","2019-03-10 08:42:47","0","49","0","10","30",NULL,"FE3E3E72-197F-4056-A4FA-C0FECC39DFB9",NULL
"OD100320190116","C240720170001","2019-03-10 14:02:22","0","34","0","10","270",NULL,"15927F75-A045-43E9-9163-85AF90949AD1",NULL
"OD100720190199","C100720190388","2019-07-10 10:12:00","0","119","0","25","4000",NULL,"B8457685-1771-44B6-A20F-EB8A8D371304",NULL
"OD100720190200","C100720190391","2019-07-10 13:41:39","1","120","5","15","120",NULL,"7733FD07-05B1-4221-8AC4-2032A093ED38",NULL
"OD100720190201","C100720190393","2019-07-10 19:58:25","1","122","5","14","60","Accra | High Street, Accra",NULL,"SUE06-BS06S-X20TO-M19005"
"OD110520190131","C110520190162","2019-05-11 19:01:20","0","57","5","10","20",NULL,"8F871247-E9A1-40E8-8D68-3945CD300CC2","SNI23-U304S-J20RT-W19002"
"OD110520190132","C110520190162","2019-05-11 19:29:13","0","57","0","10","20",NULL,"72093962-16D2-49EE-A624-F2315C1E9AB5","SNI23-U304S-J20RT-W19002"
"OD110720190202","C100720190396","2019-07-11 08:19:44","0","123","5","12","80",NULL,"8C199CF0-0977-4AFF-ADD3-B8D89F184601",NULL
"OD110720190203","C100720190388","2019-07-11 22:28:53","0","119","0","25","4000",NULL,"BCB00AC8-47CF-4A0B-9BAB-9B03C7B00D67",NULL
"OD120320190117","C240720170001","2019-03-12 11:13:16","0","34","5","10","90",NULL,"F023C5EB-5338-4AC3-BD4A-D59762885596",NULL
"OD120620190162","C240720170001","2019-06-12 08:44:47","0","34","5","10","80",NULL,"1CD36010-5DA4-47D8-8BA1-374F5E002B9A",NULL
"OD120720190205","C120720190404","2019-07-12 12:47:28","1","125","5","11","19.5",NULL,"927C4367-C5FC-41DA-B0BA-914AC3288B3A",NULL
"OD130220190089","C061220180035","2019-02-13 09:18:59","0","30","0","10","44",NULL,"FE19424A-9DAE-424F-9F05-844CE1171C32",NULL
"OD130220190090","C061220180035","2019-02-13 09:20:40","0","30","0","10","44",NULL,"8ABDE971-1F84-4D82-93E3-3407DEC9DAF1",NULL
"OD130220190091","C061220180035","2019-02-13 09:21:19","0","30","0","10","44",NULL,"E48C977D-0587-4D99-BAB4-F05F828F91F9",NULL
"OD130220190092","C240720170001","2019-02-13 09:23:31","0","34","0","10","120",NULL,"62CD5D6C-6E2F-4CD0-98A4-BC01AB60F45D",NULL
"OD130220190093","C240720170001","2019-02-13 09:24:48","0","34","0","10","44",NULL,"74A3C467-3FBD-4702-A9F4-CC8FD1B76DF6",NULL
"OD130220190094","C061220180035","2019-02-13 09:25:02","0","30","0","10","44",NULL,"4B92CBEC-92BB-418F-8218-5F94E506E511",NULL
"OD130220190095","C061220180035","2019-02-13 09:25:48","0","30","0","10","44",NULL,"D78F9CA8-6EAD-454A-BFDB-C3FF89490B44",NULL
"OD130220190096","C061220180035","2019-02-13 09:32:27","0","30","0","10","44",NULL,"8D768697-309F-415C-90C4-D7B89565F542",NULL
