"1","Not Applicable","<span style='color:black; font-weight: 800'>N/A</span>"
"2","Available","<span style='color:green; font-weight: 800'>Available</span>"
"3","Redeemed","<span style='color:red; font-weight: 800'>Redeemed</span>"
